'Time','ECG','ECG'
'hh:mm:ss.mmm','mV','mV'
'[10:15:00.000]',-0.081,0.204
'[10:15:00.004]',-0.084,0.211
'[10:15:00.008]',-0.076,0.211
'[10:15:00.012]',-0.066,0.216
'[10:15:00.016]',-0.061,0.216
'[10:15:00.020]',-0.065,0.215
'[10:15:00.024]',-0.065,0.212
'[10:15:00.028]',-0.060,0.209
'[10:15:00.032]',-0.051,0.211
'[10:15:00.036]',-0.044,0.210
'[10:15:00.040]',-0.035,0.219
'[10:15:00.044]',-0.024,0.223
'[10:15:00.048]',-0.019,0.234
'[10:15:00.052]',-0.014,0.237
'[10:15:00.056]',-0.011,0.245
'[10:15:00.060]',-0.005,0.250
'[10:15:00.064]',-0.007,0.246
'[10:15:00.068]',-0.011,0.251
'[10:15:00.072]',-0.010,0.256
'[10:15:00.076]',-0.006,0.271
'[10:15:00.080]',-0.006,0.279
'[10:15:00.084]',-0.015,0.292
'[10:15:00.088]',-0.029,0.294
'[10:15:00.092]',-0.044,0.297
'[10:15:00.096]',-0.048,0.302
'[10:15:00.100]',-0.049,0.300
'[10:15:00.104]',-0.060,0.300
'[10:15:00.108]',-0.084,0.292
'[10:15:00.112]',-0.110,0.296
'[10:15:00.116]',-0.125,0.291
'[10:15:00.120]',-0.139,0.290
'[10:15:00.124]',-0.154,0.282
'[10:15:00.128]',-0.160,0.278
'[10:15:00.132]',-0.163,0.271
'[10:15:00.136]',-0.161,0.265
'[10:15:00.140]',-0.160,0.263
'[10:15:00.144]',-0.155,0.255
'[10:15:00.148]',-0.150,0.255
'[10:15:00.152]',-0.150,0.250
'[10:15:00.156]',-0.152,0.247
'[10:15:00.160]',-0.156,0.230
'[10:15:00.164]',-0.159,0.193
'[10:15:00.168]',-0.156,0.133
'[10:15:00.172]',-0.152,0.062
'[10:15:00.176]',-0.161,-0.009
'[10:15:00.180]',-0.175,-0.083
'[10:15:00.184]',-0.180,-0.149
'[10:15:00.188]',-0.165,-0.191
'[10:15:00.192]',-0.125,-0.211
'[10:15:00.196]',-0.058,-0.215
'[10:15:00.200]',0.031,-0.200
'[10:15:00.204]',0.146,-0.152
'[10:15:00.208]',0.271,-0.079
'[10:15:00.212]',0.380,0.003
'[10:15:00.216]',0.463,0.076
'[10:15:00.220]',0.526,0.129
'[10:15:00.224]',0.594,0.168
'[10:15:00.228]',0.619,0.193
'[10:15:00.232]',0.589,0.205
'[10:15:00.236]',0.480,0.210
'[10:15:00.240]',0.324,0.215
'[10:15:00.244]',0.150,0.215
'[10:15:00.248]',0.022,0.229
'[10:15:00.252]',-0.058,0.242
'[10:15:00.256]',-0.117,0.256
'[10:15:00.260]',-0.172,0.269
'[10:15:00.264]',-0.230,0.275
'[10:15:00.268]',-0.299,0.286
'[10:15:00.272]',-0.350,0.286
'[10:15:00.276]',-0.384,0.291
'[10:15:00.280]',-0.399,0.291
'[10:15:00.284]',-0.424,0.297
'[10:15:00.288]',-0.458,0.302
'[10:15:00.292]',-0.486,0.309
'[10:15:00.296]',-0.511,0.318
'[10:15:00.300]',-0.512,0.315
'[10:15:00.304]',-0.516,0.323
'[10:15:00.308]',-0.516,0.319
'[10:15:00.312]',-0.527,0.324
'[10:15:00.316]',-0.536,0.321
'[10:15:00.320]',-0.544,0.323
'[10:15:00.324]',-0.561,0.324
'[10:15:00.328]',-0.565,0.326
'[10:15:00.332]',-0.574,0.334
'[10:15:00.336]',-0.564,0.333
'[10:15:00.340]',-0.570,0.340
'[10:15:00.344]',-0.575,0.335
'[10:15:00.348]',-0.590,0.340
'[10:15:00.352]',-0.598,0.340
'[10:15:00.356]',-0.601,0.349
'[10:15:00.360]',-0.616,0.359
'[10:15:00.364]',-0.623,0.362
'[10:15:00.368]',-0.644,0.370
'[10:15:00.372]',-0.640,0.366
'[10:15:00.376]',-0.655,0.372
'[10:15:00.380]',-0.667,0.366
'[10:15:00.384]',-0.680,0.370
'[10:15:00.388]',-0.689,0.367
'[10:15:00.392]',-0.685,0.369
'[10:15:00.396]',-0.693,0.370
'[10:15:00.400]',-0.686,0.366
'[10:15:00.404]',-0.691,0.366
'[10:15:00.408]',-0.689,0.357
'[10:15:00.412]',-0.703,0.361
'[10:15:00.416]',-0.695,0.357
'[10:15:00.420]',-0.674,0.357
'[10:15:00.424]',-0.659,0.351
'[10:15:00.428]',-0.640,0.351
'[10:15:00.432]',-0.635,0.347
'[10:15:00.436]',-0.625,0.340
'[10:15:00.440]',-0.627,0.338
'[10:15:00.444]',-0.614,0.330
'[10:15:00.448]',-0.610,0.331
'[10:15:00.452]',-0.610,0.325
'[10:15:00.456]',-0.596,0.324
'[10:15:00.460]',-0.583,0.319
'[10:15:00.464]',-0.565,0.310
'[10:15:00.468]',-0.564,0.307
'[10:15:00.472]',-0.560,0.309
'[10:15:00.476]',-0.561,0.315
'[10:15:00.480]',-0.539,0.311
'[10:15:00.484]',-0.511,0.310
'[10:15:00.488]',-0.487,0.305
'[10:15:00.492]',-0.480,0.302
'[10:15:00.496]',-0.481,0.299
'[10:15:00.500]',-0.479,0.296
'[10:15:00.504]',-0.480,0.297
'[10:15:00.508]',-0.468,0.291
'[10:15:00.512]',-0.451,0.290
'[10:15:00.516]',-0.440,0.290
'[10:15:00.520]',-0.431,0.294
'[10:15:00.524]',-0.432,0.295
'[10:15:00.528]',-0.430,0.294
'[10:15:00.532]',-0.439,0.292
'[10:15:00.536]',-0.444,0.285
'[10:15:00.540]',-0.451,0.282
'[10:15:00.544]',-0.448,0.279
'[10:15:00.548]',-0.441,0.280
'[10:15:00.552]',-0.434,0.281
'[10:15:00.556]',-0.438,0.281
'[10:15:00.560]',-0.454,0.280
'[10:15:00.564]',-0.450,0.276
'[10:15:00.568]',-0.445,0.278
'[10:15:00.572]',-0.431,0.274
'[10:15:00.576]',-0.434,0.275
'[10:15:00.580]',-0.440,0.270
'[10:15:00.584]',-0.463,0.268
'[10:15:00.588]',-0.474,0.265
'[10:15:00.592]',-0.461,0.261
'[10:15:00.596]',-0.460,0.266
'[10:15:00.600]',-0.453,0.264
'[10:15:00.604]',-0.455,0.271
'[10:15:00.608]',-0.450,0.270
'[10:15:00.612]',-0.465,0.275
'[10:15:00.616]',-0.469,0.275
'[10:15:00.620]',-0.453,0.278
'[10:15:00.624]',-0.431,0.279
'[10:15:00.628]',-0.412,0.275
'[10:15:00.632]',-0.411,0.271
'[10:15:00.636]',-0.403,0.259
'[10:15:00.640]',-0.404,0.255
'[10:15:00.644]',-0.391,0.244
'[10:15:00.648]',-0.380,0.244
'[10:15:00.652]',-0.362,0.237
'[10:15:00.656]',-0.347,0.235
'[10:15:00.660]',-0.345,0.234
'[10:15:00.664]',-0.334,0.229
'[10:15:00.668]',-0.324,0.225
'[10:15:00.672]',-0.301,0.212
'[10:15:00.676]',-0.290,0.205
'[10:15:00.680]',-0.287,0.196
'[10:15:00.684]',-0.285,0.200
'[10:15:00.688]',-0.281,0.203
'[10:15:00.692]',-0.268,0.201
'[10:15:00.696]',-0.259,0.200
'[10:15:00.700]',-0.253,0.196
'[10:15:00.704]',-0.261,0.198
'[10:15:00.708]',-0.261,0.200
'[10:15:00.712]',-0.270,0.204
'[10:15:00.716]',-0.285,0.204
'[10:15:00.720]',-0.296,0.205
'[10:15:00.724]',-0.294,0.201
'[10:15:00.728]',-0.291,0.199
'[10:15:00.732]',-0.305,0.196
'[10:15:00.736]',-0.309,0.191
'[10:15:00.740]',-0.309,0.193
'[10:15:00.744]',-0.292,0.190
'[10:15:00.748]',-0.284,0.191
'[10:15:00.752]',-0.289,0.190
'[10:15:00.756]',-0.297,0.193
'[10:15:00.760]',-0.300,0.191
'[10:15:00.764]',-0.291,0.188
'[10:15:00.768]',-0.278,0.172
'[10:15:00.772]',-0.256,0.139
'[10:15:00.776]',-0.251,0.085
'[10:15:00.780]',-0.256,0.014
'[10:15:00.784]',-0.259,-0.060
'[10:15:00.788]',-0.250,-0.136
'[10:15:00.792]',-0.240,-0.206
'[10:15:00.796]',-0.220,-0.259
